id,date,hour,level,volume,area,ID_SWOT
2160004602,2017-01-15,01:00:00,138.722,8698000.0,675492.3243243217,2160004602
2160004602,2017-01-15,02:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-15,03:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-15,04:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-15,05:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-15,06:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-15,07:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-15,08:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-15,09:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-15,10:00:00,138.722,8698000.0,675492.3243243217,2160004602
2160004602,2017-01-15,11:00:00,138.731,8704000.0,675742.3783783754,2160004602
2160004602,2017-01-15,12:00:00,138.73,8703000.0,675714.5945945915,2160004602
2160004602,2017-01-15,13:00:00,138.732,8705000.0,675770.1621621593,2160004602
2160004602,2017-01-15,14:00:00,138.72899999999998,8703000.0,675686.8108108076,2160004602
2160004602,2017-01-15,15:00:00,138.727,8701000.0,675631.2432432405,2160004602
2160004602,2017-01-15,16:00:00,138.722,8698000.0,675492.3243243217,2160004602
2160004602,2017-01-15,17:00:00,138.722,8698000.0,675492.3243243217,2160004602
2160004602,2017-01-15,18:00:00,138.721,8697000.000000002,675464.5405405378,2160004602
2160004602,2017-01-15,19:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-15,20:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-15,21:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-15,22:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-15,23:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-16,00:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-16,01:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-16,02:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-16,03:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-16,04:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-16,05:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-16,06:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-16,07:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-16,08:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-16,09:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-16,10:00:00,138.722,8698000.0,675492.3243243217,2160004602
2160004602,2017-01-16,11:00:00,138.733,8705000.0,675797.9459459432,2160004602
2160004602,2017-01-16,12:00:00,138.72899999999998,8703000.0,675686.8108108076,2160004602
2160004602,2017-01-16,13:00:00,138.72899999999998,8703000.0,675686.8108108076,2160004602
2160004602,2017-01-16,14:00:00,138.72899999999998,8703000.0,675686.8108108076,2160004602
2160004602,2017-01-16,15:00:00,138.727,8701000.0,675631.2432432405,2160004602
2160004602,2017-01-16,16:00:00,138.72299999999998,8699000.0,675520.1081081049,2160004602
2160004602,2017-01-16,17:00:00,138.72299999999998,8699000.0,675520.1081081049,2160004602
2160004602,2017-01-16,18:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-16,19:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-16,20:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-16,21:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-16,22:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-16,23:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-17,00:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-17,01:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-17,02:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-17,03:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-17,04:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-17,05:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-17,06:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-17,07:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-17,08:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-17,09:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-17,10:00:00,138.722,8698000.0,675492.3243243217,2160004602
2160004602,2017-01-17,11:00:00,138.72899999999998,8703000.0,675686.8108108076,2160004602
2160004602,2017-01-17,12:00:00,138.72899999999998,8703000.0,675686.8108108076,2160004602
2160004602,2017-01-17,13:00:00,138.72899999999998,8703000.0,675686.8108108076,2160004602
2160004602,2017-01-17,14:00:00,138.72899999999998,8703000.0,675686.8108108076,2160004602
2160004602,2017-01-17,15:00:00,138.724,8699000.0,675547.8918918888,2160004602
2160004602,2017-01-17,16:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-17,17:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-17,18:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-17,19:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-17,20:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-17,21:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-17,22:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-17,23:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-18,00:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-18,01:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-18,02:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-18,03:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-18,04:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-18,05:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-18,06:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-18,07:00:00,138.714,8693000.0,675270.0540540512,2160004602
2160004602,2017-01-18,08:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-18,09:00:00,138.717,8695000.0,675353.4054054029,2160004602
2160004602,2017-01-18,10:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-18,11:00:00,138.714,8693000.0,675270.0540540512,2160004602
2160004602,2017-01-18,12:00:00,138.718,8695000.0,675381.1891891861,2160004602
2160004602,2017-01-18,13:00:00,138.71200000000002,8691000.0,675214.4864864841,2160004602
2160004602,2017-01-18,14:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-18,15:00:00,138.716,8693999.999999998,675325.621621619,2160004602
2160004602,2017-01-18,16:00:00,138.716,8693999.999999998,675325.621621619,2160004602
2160004602,2017-01-18,17:00:00,138.714,8693000.0,675270.0540540512,2160004602
2160004602,2017-01-18,18:00:00,138.715,8693000.0,675297.8378378351,2160004602
2160004602,2017-01-18,19:00:00,138.716,8693999.999999998,675325.621621619,2160004602
2160004602,2017-01-18,20:00:00,138.714,8693000.0,675270.0540540512,2160004602
2160004602,2017-01-18,21:00:00,138.714,8693000.0,675270.0540540512,2160004602
2160004602,2017-01-18,22:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-18,23:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-19,00:00:00,138.717,8695000.0,675353.4054054029,2160004602
2160004602,2017-01-19,01:00:00,138.715,8693000.0,675297.8378378351,2160004602
2160004602,2017-01-19,02:00:00,138.713,8692000.0,675242.2702702673,2160004602
2160004602,2017-01-19,03:00:00,138.716,8693999.999999998,675325.621621619,2160004602
2160004602,2017-01-19,04:00:00,138.716,8693999.999999998,675325.621621619,2160004602
2160004602,2017-01-19,05:00:00,138.718,8695000.0,675381.1891891861,2160004602
2160004602,2017-01-19,06:00:00,138.717,8695000.0,675353.4054054029,2160004602
2160004602,2017-01-19,07:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-19,08:00:00,138.715,8693000.0,675297.8378378351,2160004602
2160004602,2017-01-19,09:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-19,10:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-19,11:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-19,12:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-19,13:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-19,14:00:00,138.721,8697000.000000002,675464.5405405378,2160004602
2160004602,2017-01-19,15:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-19,16:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-19,17:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-19,18:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-19,19:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-19,20:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-19,21:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-19,22:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-19,23:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-20,00:00:00,138.714,8693000.0,675270.0540540512,2160004602
2160004602,2017-01-20,01:00:00,138.714,8693000.0,675270.0540540512,2160004602
2160004602,2017-01-20,02:00:00,138.714,8693000.0,675270.0540540512,2160004602
2160004602,2017-01-20,03:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-20,04:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-20,05:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-20,06:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-20,07:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-20,08:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-20,09:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-20,10:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-20,11:00:00,138.716,8693999.999999998,675325.621621619,2160004602
2160004602,2017-01-20,12:00:00,138.72,8697000.000000002,675436.7567567539,2160004602
2160004602,2017-01-20,13:00:00,138.724,8699000.0,675547.8918918888,2160004602
2160004602,2017-01-20,14:00:00,138.722,8698000.0,675492.3243243217,2160004602
2160004602,2017-01-20,15:00:00,138.718,8695000.0,675381.1891891861,2160004602
2160004602,2017-01-20,16:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-20,17:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-20,18:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-20,19:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-20,20:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-20,21:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-20,22:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-20,23:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-21,00:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-21,01:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-21,02:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-21,03:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-21,04:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-21,05:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-21,06:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-21,07:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-21,08:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-21,09:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-21,10:00:00,138.714,8693000.0,675270.0540540512,2160004602
2160004602,2017-01-21,11:00:00,138.725,8700000.0,675575.6756756727,2160004602
2160004602,2017-01-21,12:00:00,138.718,8695000.0,675381.1891891861,2160004602
2160004602,2017-01-21,13:00:00,138.722,8698000.0,675492.3243243217,2160004602
2160004602,2017-01-21,14:00:00,138.721,8697000.000000002,675464.5405405378,2160004602
2160004602,2017-01-21,15:00:00,138.714,8693000.0,675270.0540540512,2160004602
2160004602,2017-01-21,16:00:00,138.715,8693000.0,675297.8378378351,2160004602
2160004602,2017-01-21,17:00:00,138.715,8693000.0,675297.8378378351,2160004602
2160004602,2017-01-21,18:00:00,138.714,8693000.0,675270.0540540512,2160004602
2160004602,2017-01-21,19:00:00,138.716,8693999.999999998,675325.621621619,2160004602
2160004602,2017-01-21,20:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-21,21:00:00,138.713,8692000.0,675242.2702702673,2160004602
2160004602,2017-01-21,22:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-21,23:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-22,00:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-22,01:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-22,02:00:00,138.71200000000002,8691000.0,675214.4864864841,2160004602
2160004602,2017-01-22,03:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-22,04:00:00,138.71200000000002,8691000.0,675214.4864864841,2160004602
2160004602,2017-01-22,05:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-22,06:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-22,07:00:00,138.715,8693000.0,675297.8378378351,2160004602
2160004602,2017-01-22,08:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-22,09:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-22,10:00:00,138.714,8693000.0,675270.0540540512,2160004602
2160004602,2017-01-22,11:00:00,138.72,8697000.000000002,675436.7567567539,2160004602
2160004602,2017-01-22,12:00:00,138.72,8697000.000000002,675436.7567567539,2160004602
2160004602,2017-01-22,13:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-22,14:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-22,15:00:00,138.718,8695000.0,675381.1891891861,2160004602
2160004602,2017-01-22,16:00:00,138.713,8692000.0,675242.2702702673,2160004602
2160004602,2017-01-22,17:00:00,138.713,8692000.0,675242.2702702673,2160004602
2160004602,2017-01-22,18:00:00,138.71200000000002,8691000.0,675214.4864864841,2160004602
2160004602,2017-01-22,19:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-22,20:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-22,21:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-22,22:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-22,23:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-23,00:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-23,01:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-23,02:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-23,03:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-23,04:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-23,05:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-23,06:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-23,07:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-23,08:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-23,09:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-23,10:00:00,138.714,8693000.0,675270.0540540512,2160004602
2160004602,2017-01-23,11:00:00,138.725,8700000.0,675575.6756756727,2160004602
2160004602,2017-01-23,12:00:00,138.72299999999998,8699000.0,675520.1081081049,2160004602
2160004602,2017-01-23,13:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-23,14:00:00,138.719,8696000.0,675408.97297297,2160004602
2160004602,2017-01-23,15:00:00,138.717,8695000.0,675353.4054054029,2160004602
2160004602,2017-01-23,16:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-23,17:00:00,138.714,8693000.0,675270.0540540512,2160004602
2160004602,2017-01-23,18:00:00,138.713,8692000.0,675242.2702702673,2160004602
2160004602,2017-01-23,19:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-23,20:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-23,21:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-23,22:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-23,23:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-24,00:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-24,01:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-24,02:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-24,03:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-24,04:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-24,05:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-24,06:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-24,07:00:00,138.71,8690000.0,675158.9189189163,2160004602
2160004602,2017-01-24,08:00:00,138.711,8690000.0,675186.7027027002,2160004602
2160004602,2017-01-24,09:00:00,138.709,8689000.0,675131.1351351324,2160004602
2160004602,2017-01-24,10:00:00,138.714,8693000.0,675270.0540540512,2160004602
